key_resp.keys,key_resp.corr,present_segment.thisRepN,present_segment.thisTrialN,present_segment.thisN,present_segment.thisIndex,present_segment.ran,pictures,answer,clock,segment,participant,key_resp.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,compare_segment.thisRepN,compare_segment.thisTrialN,compare_segment.thisN,compare_segment.thisIndex,compare_segment.ran,item_a,item_b,clock_conditions.thisRepN,clock_conditions.thisTrialN,clock_conditions.thisN,clock_conditions.thisIndex,clock_conditions.ran,present,compare,noclock_present.thisRepN,noclock_present.thisTrialN,noclock_present.thisN,noclock_present.thisIndex,noclock_present.ran,noclock_compare.thisRepN,noclock_compare.thisTrialN,noclock_compare.thisN,noclock_compare.thisIndex,noclock_compare.ran,noclock_conditions.thisRepN,noclock_conditions.thisTrialN,noclock_conditions.thisN,noclock_conditions.thisIndex,noclock_conditions.ran
,0.0,0.0,0.0,0.0,0.0,1.0,jetski_10s.jpg,0.0,clock_7_1.png,1.0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,1.0,1.0,1.0,1.0,padlock_07s.jpg,0.0,clock_7_2.png,1.0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,2.0,2.0,2.0,1.0,antenna_01b.jpg,0.0,clock_7_3.png,1.0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,3.0,3.0,3.0,1.0,rhubarb_03s.jpg,0.0,clock_7_4.png,1.0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,4.0,4.0,4.0,1.0,jetski_10s.jpg,1.0,clock_7_5.png,1.0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,5.0,5.0,5.0,1.0,juicer2_06s.jpg,0.0,clock_7_6.png,1.0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,0.0,6.0,6.0,6.0,1.0,padlock_07s.jpg,1.0,clock_7_7.png,1.0,9,1.819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,7.0,7.0,7.0,1.0,insole_11s.jpg,0.0,clock_5_1.png,2.0,9,1.303065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,0.0,8.0,8.0,8.0,1.0,antenna_01b.jpg,0.0,clock_5_2.png,2.0,9,0.846515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,9.0,9.0,9.0,1.0,stingray_02s.jpg,0.0,clock_5_3.png,2.0,9,0.651135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,10.0,10.0,10.0,1.0,lectern_08s.jpg,0.0,clock_5_4.png,2.0,9,0.848465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,11.0,11.0,11.0,1.0,briefcase_03s.jpg,0.0,clock_5_5.png,2.0,9,0.874265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,12.0,12.0,12.0,1.0,pepper_mill_03s.jpg,0.0,clock_6_1.png,3.0,9,0.98712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,13.0,13.0,13.0,1.0,light_switch_02s.jpg,0.0,clock_6_2.png,3.0,9,1.393425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,14.0,14.0,14.0,1.0,lava_02s.jpg,0.0,clock_6_3.png,3.0,9,0.601455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,15.0,15.0,15.0,1.0,moth_06n.jpg,0.0,clock_6_4.png,3.0,9,0.75966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,16.0,16.0,16.0,1.0,pincushion_10s.jpg,0.0,clock_6_5.png,3.0,9,0.76221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,17.0,17.0,17.0,1.0,quad_04s.jpg,0.0,clock_6_6.png,3.0,9,1.288965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,18.0,18.0,18.0,1.0,keyhole_03s.jpg,0.0,clock_6_1.png,4.0,9,0.89009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,19.0,19.0,19.0,1.0,trampoline_13s.jpg,0.0,clock_6_2.png,4.0,9,0.40817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,0.0,20.0,20.0,20.0,1.0,lectern_08s.jpg,0.0,clock_6_3.png,4.0,9,0.88107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,21.0,21.0,21.0,1.0,fork_04s.jpg,0.0,clock_6_4.png,4.0,9,0.67836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,22.0,22.0,22.0,1.0,petri_dish_12s.jpg,0.0,clock_6_5.png,4.0,9,0.698975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,0.0,23.0,23.0,23.0,1.0,petri_dish_12s.jpg,1.0,clock_6_6.png,4.0,9,1.207085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,24.0,24.0,24.0,1.0,metronome_03s.jpg,0.0,clock_7_1.png,5.0,9,0.89672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,25.0,25.0,25.0,1.0,tiara_05s.jpg,0.0,clock_7_2.png,5.0,9,1.1129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,26.0,26.0,26.0,1.0,undershirt_02s.jpg,0.0,clock_7_3.png,5.0,9,0.70281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,27.0,27.0,27.0,1.0,tripod_01b.jpg,0.0,clock_7_4.png,5.0,9,0.597265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,28.0,28.0,28.0,1.0,parachute_03s.jpg,0.0,clock_7_5.png,5.0,9,0.611185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
