key_resp.keys,key_resp.corr,noclock_loop.thisRepN,noclock_loop.thisTrialN,noclock_loop.thisN,noclock_loop.thisIndex,noclock_loop.ran,pictures,answer,clock,segment,participant,key_resp.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,noclock_loop2.thisRepN,noclock_loop2.thisTrialN,noclock_loop2.thisN,noclock_loop2.thisIndex,noclock_loop2.ran,item_a,item_b,noclock_condition.thisRepN,noclock_condition.thisTrialN,noclock_condition.thisN,noclock_condition.thisIndex,noclock_condition.ran,present,compare,present_segment.thisRepN,present_segment.thisTrialN,present_segment.thisN,present_segment.thisIndex,present_segment.ran,compare_segment.thisRepN,compare_segment.thisTrialN,compare_segment.thisN,compare_segment.thisIndex,compare_segment.ran,clock_conditions.thisRepN,clock_conditions.thisTrialN,clock_conditions.thisN,clock_conditions.thisIndex,clock_conditions.ran
,0.0,0.0,0.0,0.0,0.0,1.0,fossil_06s.jpg,0.0,clockno_up.jpg,1.0,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,0.0,1.0,1.0,1.0,1.0,lamb_chop_07s.jpg,0.0,clockno_default.jpg,1.0,42,2.321835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,2.0,2.0,2.0,1.0,parachute_03s.jpg,0.0,clockno_default.jpg,1.0,42,1.507825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,0.0,3.0,3.0,3.0,1.0,parachute_03s.jpg,1.0,clockno_default.jpg,1.0,42,0.998765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,0.0,4.0,4.0,4.0,1.0,peppermint_07s.jpg,0.0,clockno_default.jpg,1.0,42,2.151505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,5.0,5.0,5.0,1.0,slingshot_07s.jpg,0.0,clockno_up.jpg,2.0,42,1.258485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,6.0,6.0,6.0,1.0,tile_08s.jpg,0.0,clockno_default.jpg,2.0,42,1.4596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,7.0,7.0,7.0,1.0,ravioli_08s.jpg,0.0,clockno_default.jpg,2.0,42,1.170915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,0.0,8.0,8.0,8.0,1.0,parachute_03s.jpg,0.0,clockno_default.jpg,2.0,42,0.854345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,9.0,9.0,9.0,1.0,peppermint_07s.jpg,0.0,clockno_default.jpg,2.0,42,0.97833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,0.0,10.0,10.0,10.0,1.0,petri_dish_12s.jpg,0.0,clockno_up.jpg,3.0,42,1.066175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,11.0,11.0,11.0,1.0,popcorn_09s.jpg,0.0,clockno_default.jpg,3.0,42,0.684255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,0.0,12.0,12.0,12.0,1.0,paintbrush_04s.jpg,0.0,clockno_default.jpg,3.0,42,0.613745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,13.0,13.0,13.0,1.0,potpourri_03s.jpg,0.0,clockno_default.jpg,3.0,42,1.303505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,14.0,14.0,14.0,1.0,throne_11s.jpg,0.0,clockno_default.jpg,3.0,42,0.70313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,15.0,15.0,15.0,1.0,peppermint_07s.jpg,0.0,clockno_default.jpg,3.0,42,0.810905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,16.0,16.0,16.0,1.0,muffin_12n.jpg,0.0,clockno_up.jpg,4.0,42,1.35487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,17.0,17.0,17.0,1.0,toothpaste_12s.jpg,0.0,clockno_default.jpg,4.0,42,0.89434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.0,0.0,18.0,18.0,18.0,1.0,paintbrush_04s.jpg,0.0,clockno_default.jpg,4.0,42,0.93619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,19.0,19.0,19.0,1.0,police_car_01s.jpg,0.0,clockno_default.jpg,4.0,42,0.705045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,0.0,20.0,20.0,20.0,1.0,toothpaste_12s.jpg,1.0,clockno_default.jpg,4.0,42,1.985195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,21.0,21.0,21.0,1.0,jet_15s.jpg,0.0,clockno_default.jpg,4.0,42,0.7808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,22.0,22.0,22.0,1.0,tripod_01b.jpg,0.0,clockno_up.jpg,5.0,42,1.60469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,23.0,23.0,23.0,1.0,potpourri_03s.jpg,0.0,clockno_default.jpg,5.0,42,0.91362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,24.0,24.0,24.0,1.0,lava_02s.jpg,0.0,clockno_default.jpg,5.0,42,0.86568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,25.0,25.0,25.0,1.0,peeler_06s.jpg,0.0,clockno_default.jpg,5.0,42,2.123195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,0.0,26.0,26.0,26.0,1.0,lava_02s.jpg,1.0,clockno_default.jpg,5.0,42,0.667125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,27.0,27.0,27.0,1.0,solar_panel_02s.jpg,0.0,clockno_default.jpg,5.0,42,1.069685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,28.0,28.0,28.0,1.0,kilt_18s.jpg,0.0,clockno_default.jpg,5.0,42,0.640385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,29.0,29.0,29.0,1.0,flask_04s.jpg,0.0,clockno_up.jpg,6.0,42,0.82448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
