key_resp.keys,key_resp.corr,noclock_loop.thisRepN,noclock_loop.thisTrialN,noclock_loop.thisN,noclock_loop.thisIndex,noclock_loop.ran,pictures,answer,clock,segment,participant,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,noclock_loop2.thisRepN,noclock_loop2.thisTrialN,noclock_loop2.thisN,noclock_loop2.thisIndex,noclock_loop2.ran,item_a,item_b,noclock_condition.thisRepN,noclock_condition.thisTrialN,noclock_condition.thisN,noclock_condition.thisIndex,noclock_condition.ran,present,compare,key_resp.rt,present_segment.thisRepN,present_segment.thisTrialN,present_segment.thisN,present_segment.thisIndex,present_segment.ran,compare_segment.thisRepN,compare_segment.thisTrialN,compare_segment.thisN,compare_segment.thisIndex,compare_segment.ran,clock_conditions.thisRepN,clock_conditions.thisTrialN,clock_conditions.thisN,clock_conditions.thisIndex,clock_conditions.ran
,0.0,0.0,0.0,0.0,0.0,1.0,exhaust_pipe_10s.jpg,0.0,clockno_up.jpg,1.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,1.0,1.0,1.0,1.0,breadstick_08s.jpg,0.0,clockno_default.jpg,1.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,2.0,2.0,2.0,1.0,reindeer_08s.jpg,0.0,clockno_default.jpg,1.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,3.0,3.0,3.0,1.0,megaphone_03s.jpg,0.0,clockno_default.jpg,1.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,4.0,4.0,4.0,1.0,lasagna_06s.jpg,0.0,clockno_default.jpg,1.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,5.0,5.0,5.0,1.0,kilt_18s.jpg,0.0,clockno_default.jpg,1.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,6.0,6.0,6.0,1.0,touchpad_11s.jpg,0.0,clockno_up.jpg,2.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,7.0,7.0,7.0,1.0,mango_09s.jpg,0.0,clockno_default.jpg,2.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,8.0,8.0,8.0,1.0,sushi_08s.jpg,0.0,clockno_default.jpg,2.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,9.0,9.0,9.0,1.0,pencil02a.jpg,0.0,clockno_default.jpg,2.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,10.0,10.0,10.0,1.0,lavender_10s.jpg,0.0,clockno_default.jpg,2.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,11.0,11.0,11.0,1.0,oil_02s.jpg,0.0,clockno_up.jpg,3.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,12.0,12.0,12.0,1.0,pan_02s.jpg,0.0,clockno_default.jpg,3.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,13.0,13.0,13.0,1.0,power_line_08s.jpg,0.0,clockno_default.jpg,3.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,14.0,14.0,14.0,1.0,pan_02s.jpg,1.0,clockno_default.jpg,3.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,15.0,15.0,15.0,1.0,pan_02s.jpg,1.0,clockno_default.jpg,3.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,16.0,16.0,16.0,1.0,tambourine_06s.jpg,0.0,clockno_up.jpg,4.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,17.0,17.0,17.0,1.0,fireworks_18s.jpg,0.0,clockno_default.jpg,4.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,18.0,18.0,18.0,1.0,bacon_05s.jpg,0.0,clockno_default.jpg,4.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,19.0,19.0,19.0,1.0,kangaroo_02s.jpg,0.0,clockno_default.jpg,4.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,20.0,20.0,20.0,1.0,bacon_05s.jpg,1.0,clockno_default.jpg,4.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,21.0,21.0,21.0,1.0,foam_03s.jpg,0.0,clockno_default.jpg,4.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,22.0,22.0,22.0,1.0,jigsaw_puzzle_11s.jpg,0.0,clockno_default.jpg,4.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,23.0,23.0,23.0,1.0,letter_opener_03s.jpg,0.0,clockno_up.jpg,5.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,24.0,24.0,24.0,1.0,pencil02a.jpg,0.0,clockno_default.jpg,5.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,25.0,25.0,25.0,1.0,boomerang_06s.jpg,0.0,clockno_default.jpg,5.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,26.0,26.0,26.0,1.0,letter_opener_03s.jpg,1.0,clockno_default.jpg,5.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,27.0,27.0,27.0,1.0,polaroid_05s.jpg,0.0,clockno_default.jpg,5.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,28.0,28.0,28.0,1.0,tambourine_06s.jpg,0.0,clockno_default.jpg,5.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,29.0,29.0,29.0,1.0,possum_09s.jpg,0.0,clockno_up.jpg,6.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,30.0,30.0,30.0,1.0,gong_02s.jpg,0.0,clockno_default.jpg,6.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,31.0,31.0,31.0,1.0,sea_urchin_09s.jpg,0.0,clockno_default.jpg,6.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,32.0,32.0,32.0,1.0,keyboard_05s.jpg,0.0,clockno_default.jpg,6.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,33.0,33.0,33.0,1.0,lamp_08s.jpg,0.0,clockno_default.jpg,6.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
